Instance,Population Size,Mutation Probability,Total Fleet Size,Min Bus Line/Ind,Min Vertices in a Bus Line,Max Vertices in a Bus Line,Transfer Penalty,Unreached Stop Penalty,Best Solution Operator Cost,Best Solution Passanger Cost,Total Time
Mumford0,200,0.1,15,6,8,4,20,120,25.6,49.90033902267945,4385.862843751907
Mumford0,200,0.1,15,6,8,4,20,120,22.95,50.24856792144026,4574.279340982437
Mumford0,200,0.1,15,6,8,4,20,120,22.77777777777778,49.298003857844286,4591.213987350464
Mumford0,200,0.1,15,6,8,4,20,120,25.083333333333332,54.04959667991583,4604.075519323349
Mumford0,200,0.1,15,6,8,4,20,120,25.333333333333332,51.31533493102642,4653.22984290123
Mumford0,200,0.1,15,6,8,4,20,120,24.791666666666668,53.8737432779986,4660.353789567947
Mumford0,200,0.1,15,6,8,4,20,120,27.557142857142857,51.30231470657002,4664.867837190628
Mumford0,200,0.1,15,6,8,4,20,120,24.416666666666668,49.25293722235212,4677.386171579361
Mumford0,200,0.1,15,6,8,4,20,120,24.249999999999996,48.22800736497545,4697.064476013184
Mumford0,200,0.1,15,6,8,4,20,120,24.55,53.62888707037643,4711.298545360565
Mumford0,200,0.1,15,6,8,4,20,120,23.88888888888889,51.993292611643675,4731.47988152504
Mumford0,200,0.1,15,6,8,4,20,120,23.733333333333334,54.201952303016135,4748.652290582657
Mumford0,200,0.1,15,6,8,4,20,120,26.357142857142858,48.708557400046764,4763.1566042900085
Mumford0,200,0.1,15,6,8,4,20,120,23.833333333333336,53.52304477437456,4848.004405975342
Mumford0,200,0.1,15,6,8,4,20,120,26.25,53.23411561842413,4912.663677692413
Mumford0,200,0.1,15,6,8,4,20,200,24.266666666666666,53.91315466448445,4475.5358073711395
Mumford0,200,0.1,15,6,8,4,20,200,26.67857142857143,54.19141629646949,4441.380494356155
Mumford0,200,0.1,15,6,8,4,20,200,25.433333333333334,58.139642272620996,4471.674698829651
Mumford0,200,0.1,15,6,8,4,20,200,25.333333333333336,52.014890694411974,4424.139055967331
Mumford0,200,0.1,15,6,8,4,20,200,23.35,60.693505962122984,4516.021481752396
Mumford0,200,0.1,15,6,8,4,20,200,26.1,52.91882452653729,4484.00798034668
Mumford0,200,0.1,15,6,8,4,20,200,25.0,55.21877191956979,4524.583759069443
Mumford0,200,0.1,15,6,8,4,20,200,22.575,55.08447802197802,4633.927684783936
